Epoch: 01 | Time: 0m 1s
	Train Loss: 0.688 | Train PPL:   1.991
	 Val. Loss: 0.691 |  Val. PPL:   1.997
Epoch: 02 | Time: 0m 1s
	Train Loss: 0.671 | Train PPL:   1.957
	 Val. Loss: 0.579 |  Val. PPL:   1.784
Epoch: 03 | Time: 0m 1s
	Train Loss: 0.603 | Train PPL:   1.827
	 Val. Loss: 0.589 |  Val. PPL:   1.802
Epoch: 04 | Time: 0m 1s
	Train Loss: 0.541 | Train PPL:   1.718
	 Val. Loss: 0.541 |  Val. PPL:   1.717
Epoch: 05 | Time: 0m 1s
	Train Loss: 0.519 | Train PPL:   1.681
	 Val. Loss: 0.479 |  Val. PPL:   1.614
Epoch: 06 | Time: 0m 1s
	Train Loss: 0.494 | Train PPL:   1.639
	 Val. Loss: 0.481 |  Val. PPL:   1.618
Epoch: 07 | Time: 0m 1s
	Train Loss: 0.475 | Train PPL:   1.608
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 08 | Time: 0m 1s
	Train Loss: 0.445 | Train PPL:   1.561
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 09 | Time: 0m 1s
	Train Loss: 0.434 | Train PPL:   1.544
	 Val. Loss: 0.479 |  Val. PPL:   1.615
Epoch: 10 | Time: 0m 1s
	Train Loss: 0.421 | Train PPL:   1.523
	 Val. Loss: 0.468 |  Val. PPL:   1.597
Epoch: 11 | Time: 0m 1s
	Train Loss: 0.392 | Train PPL:   1.480
	 Val. Loss: 0.521 |  Val. PPL:   1.684
Epoch: 12 | Time: 0m 1s
	Train Loss: 0.390 | Train PPL:   1.477
	 Val. Loss: 0.463 |  Val. PPL:   1.589
Epoch: 13 | Time: 0m 1s
	Train Loss: 0.345 | Train PPL:   1.412
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 14 | Time: 0m 1s
	Train Loss: 0.340 | Train PPL:   1.405
	 Val. Loss: 0.476 |  Val. PPL:   1.610
Epoch: 15 | Time: 0m 1s
	Train Loss: 0.319 | Train PPL:   1.375
	 Val. Loss: 0.513 |  Val. PPL:   1.670
Epoch: 16 | Time: 0m 1s
	Train Loss: 0.306 | Train PPL:   1.358
	 Val. Loss: 0.489 |  Val. PPL:   1.630
Epoch: 17 | Time: 0m 1s
	Train Loss: 0.280 | Train PPL:   1.323
	 Val. Loss: 0.497 |  Val. PPL:   1.644
Epoch: 18 | Time: 0m 1s
	Train Loss: 0.260 | Train PPL:   1.297
	 Val. Loss: 0.497 |  Val. PPL:   1.644
Epoch: 19 | Time: 0m 1s
	Train Loss: 0.251 | Train PPL:   1.285
	 Val. Loss: 0.593 |  Val. PPL:   1.810
Epoch: 20 | Time: 0m 1s
	Train Loss: 0.230 | Train PPL:   1.259
	 Val. Loss: 0.565 |  Val. PPL:   1.759
Epoch: 21 | Time: 0m 1s
	Train Loss: 0.205 | Train PPL:   1.227
	 Val. Loss: 0.546 |  Val. PPL:   1.726
Epoch: 22 | Time: 0m 1s
	Train Loss: 0.214 | Train PPL:   1.239
	 Val. Loss: 0.555 |  Val. PPL:   1.742
Epoch: 23 | Time: 0m 1s
	Train Loss: 0.198 | Train PPL:   1.219
	 Val. Loss: 0.546 |  Val. PPL:   1.726
Epoch: 24 | Time: 0m 1s
	Train Loss: 0.192 | Train PPL:   1.211
	 Val. Loss: 0.566 |  Val. PPL:   1.761
Epoch: 25 | Time: 0m 1s
	Train Loss: 0.189 | Train PPL:   1.208
	 Val. Loss: 0.541 |  Val. PPL:   1.718
Epoch: 26 | Time: 0m 1s
	Train Loss: 0.180 | Train PPL:   1.197
	 Val. Loss: 0.544 |  Val. PPL:   1.722
Epoch: 27 | Time: 0m 1s
	Train Loss: 0.160 | Train PPL:   1.174
	 Val. Loss: 0.601 |  Val. PPL:   1.824
Epoch: 28 | Time: 0m 1s
	Train Loss: 0.150 | Train PPL:   1.162
	 Val. Loss: 0.595 |  Val. PPL:   1.813
Epoch: 29 | Time: 0m 1s
	Train Loss: 0.150 | Train PPL:   1.161
	 Val. Loss: 0.556 |  Val. PPL:   1.743
Epoch: 30 | Time: 0m 1s
	Train Loss: 0.139 | Train PPL:   1.149
	 Val. Loss: 0.593 |  Val. PPL:   1.809
