Epoch: 01 | Time: 0m 2s
	Train Loss: 0.691 | Train PPL:   1.995
	 Val. Loss: 0.679 |  Val. PPL:   1.972
Epoch: 02 | Time: 0m 2s
	Train Loss: 0.688 | Train PPL:   1.989
	 Val. Loss: 0.676 |  Val. PPL:   1.966
Epoch: 03 | Time: 0m 2s
	Train Loss: 0.652 | Train PPL:   1.919
	 Val. Loss: 0.607 |  Val. PPL:   1.835
Epoch: 04 | Time: 0m 2s
	Train Loss: 0.594 | Train PPL:   1.812
	 Val. Loss: 0.546 |  Val. PPL:   1.726
Epoch: 05 | Time: 0m 2s
	Train Loss: 0.535 | Train PPL:   1.707
	 Val. Loss: 0.512 |  Val. PPL:   1.668
Epoch: 06 | Time: 0m 2s
	Train Loss: 0.494 | Train PPL:   1.639
	 Val. Loss: 0.512 |  Val. PPL:   1.669
Epoch: 07 | Time: 0m 2s
	Train Loss: 0.455 | Train PPL:   1.577
	 Val. Loss: 0.514 |  Val. PPL:   1.672
Epoch: 08 | Time: 0m 2s
	Train Loss: 0.453 | Train PPL:   1.573
	 Val. Loss: 0.465 |  Val. PPL:   1.592
Epoch: 09 | Time: 0m 2s
	Train Loss: 0.430 | Train PPL:   1.537
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 10 | Time: 0m 2s
	Train Loss: 0.417 | Train PPL:   1.518
	 Val. Loss: 0.470 |  Val. PPL:   1.600
Epoch: 11 | Time: 0m 2s
	Train Loss: 0.394 | Train PPL:   1.482
	 Val. Loss: 0.486 |  Val. PPL:   1.626
Epoch: 12 | Time: 0m 2s
	Train Loss: 0.380 | Train PPL:   1.463
	 Val. Loss: 0.509 |  Val. PPL:   1.663
Epoch: 13 | Time: 0m 2s
	Train Loss: 0.364 | Train PPL:   1.439
	 Val. Loss: 0.502 |  Val. PPL:   1.652
Epoch: 14 | Time: 0m 2s
	Train Loss: 0.346 | Train PPL:   1.414
	 Val. Loss: 0.542 |  Val. PPL:   1.720
Epoch: 15 | Time: 0m 2s
	Train Loss: 0.328 | Train PPL:   1.388
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 16 | Time: 0m 2s
	Train Loss: 0.297 | Train PPL:   1.346
	 Val. Loss: 0.505 |  Val. PPL:   1.657
Epoch: 17 | Time: 0m 2s
	Train Loss: 0.302 | Train PPL:   1.353
	 Val. Loss: 0.538 |  Val. PPL:   1.713
Epoch: 18 | Time: 0m 2s
	Train Loss: 0.273 | Train PPL:   1.314
	 Val. Loss: 0.517 |  Val. PPL:   1.678
Epoch: 19 | Time: 0m 2s
	Train Loss: 0.247 | Train PPL:   1.280
	 Val. Loss: 0.530 |  Val. PPL:   1.699
Epoch: 20 | Time: 0m 2s
	Train Loss: 0.240 | Train PPL:   1.271
	 Val. Loss: 0.554 |  Val. PPL:   1.740
Epoch: 21 | Time: 0m 2s
	Train Loss: 0.234 | Train PPL:   1.263
	 Val. Loss: 0.517 |  Val. PPL:   1.677
Epoch: 22 | Time: 0m 2s
	Train Loss: 0.199 | Train PPL:   1.220
	 Val. Loss: 0.638 |  Val. PPL:   1.893
Epoch: 23 | Time: 0m 2s
	Train Loss: 0.190 | Train PPL:   1.210
	 Val. Loss: 0.563 |  Val. PPL:   1.756
Epoch: 24 | Time: 0m 2s
	Train Loss: 0.175 | Train PPL:   1.191
	 Val. Loss: 0.532 |  Val. PPL:   1.702
Epoch: 25 | Time: 0m 2s
	Train Loss: 0.177 | Train PPL:   1.193
	 Val. Loss: 0.581 |  Val. PPL:   1.788
Epoch: 26 | Time: 0m 2s
	Train Loss: 0.153 | Train PPL:   1.165
	 Val. Loss: 0.585 |  Val. PPL:   1.795
Epoch: 27 | Time: 0m 2s
	Train Loss: 0.142 | Train PPL:   1.153
	 Val. Loss: 0.596 |  Val. PPL:   1.815
Epoch: 28 | Time: 0m 2s
	Train Loss: 0.137 | Train PPL:   1.147
	 Val. Loss: 0.621 |  Val. PPL:   1.861
Epoch: 29 | Time: 0m 2s
	Train Loss: 0.124 | Train PPL:   1.132
	 Val. Loss: 0.654 |  Val. PPL:   1.923
Epoch: 30 | Time: 0m 2s
	Train Loss: 0.124 | Train PPL:   1.132
	 Val. Loss: 0.681 |  Val. PPL:   1.975
