Epoch: 01 | Time: 0m 2s
	Train Loss: 0.688 | Train PPL:   1.990
	 Val. Loss: 0.678 |  Val. PPL:   1.970
Epoch: 02 | Time: 0m 2s
	Train Loss: 0.685 | Train PPL:   1.984
	 Val. Loss: 0.783 |  Val. PPL:   2.187
Epoch: 03 | Time: 0m 2s
	Train Loss: 0.685 | Train PPL:   1.983
	 Val. Loss: 0.709 |  Val. PPL:   2.033
Epoch: 04 | Time: 0m 2s
	Train Loss: 0.686 | Train PPL:   1.985
	 Val. Loss: 0.692 |  Val. PPL:   1.998
Epoch: 05 | Time: 0m 2s
	Train Loss: 0.685 | Train PPL:   1.983
	 Val. Loss: 0.725 |  Val. PPL:   2.064
Epoch: 06 | Time: 0m 2s
	Train Loss: 0.652 | Train PPL:   1.919
	 Val. Loss: 0.584 |  Val. PPL:   1.793
Epoch: 07 | Time: 0m 2s
	Train Loss: 0.587 | Train PPL:   1.799
	 Val. Loss: 0.536 |  Val. PPL:   1.709
Epoch: 08 | Time: 0m 2s
	Train Loss: 0.581 | Train PPL:   1.787
	 Val. Loss: 0.500 |  Val. PPL:   1.649
Epoch: 09 | Time: 0m 2s
	Train Loss: 0.535 | Train PPL:   1.708
	 Val. Loss: 0.483 |  Val. PPL:   1.620
Epoch: 10 | Time: 0m 2s
	Train Loss: 0.512 | Train PPL:   1.668
	 Val. Loss: 0.479 |  Val. PPL:   1.614
Epoch: 11 | Time: 0m 2s
	Train Loss: 0.500 | Train PPL:   1.649
	 Val. Loss: 0.530 |  Val. PPL:   1.699
Epoch: 12 | Time: 0m 2s
	Train Loss: 0.485 | Train PPL:   1.624
	 Val. Loss: 0.477 |  Val. PPL:   1.611
Epoch: 13 | Time: 0m 2s
	Train Loss: 0.475 | Train PPL:   1.608
	 Val. Loss: 0.477 |  Val. PPL:   1.612
Epoch: 14 | Time: 0m 2s
	Train Loss: 0.465 | Train PPL:   1.591
	 Val. Loss: 0.467 |  Val. PPL:   1.595
Epoch: 15 | Time: 0m 2s
	Train Loss: 0.451 | Train PPL:   1.570
	 Val. Loss: 0.499 |  Val. PPL:   1.647
Epoch: 16 | Time: 0m 2s
	Train Loss: 0.444 | Train PPL:   1.559
	 Val. Loss: 0.467 |  Val. PPL:   1.596
Epoch: 17 | Time: 0m 2s
	Train Loss: 0.441 | Train PPL:   1.555
	 Val. Loss: 0.470 |  Val. PPL:   1.600
Epoch: 18 | Time: 0m 2s
	Train Loss: 0.424 | Train PPL:   1.528
	 Val. Loss: 0.469 |  Val. PPL:   1.598
Epoch: 19 | Time: 0m 2s
	Train Loss: 0.408 | Train PPL:   1.504
	 Val. Loss: 0.497 |  Val. PPL:   1.644
Epoch: 20 | Time: 0m 2s
	Train Loss: 0.403 | Train PPL:   1.497
	 Val. Loss: 0.464 |  Val. PPL:   1.590
Epoch: 21 | Time: 0m 2s
	Train Loss: 0.392 | Train PPL:   1.480
	 Val. Loss: 0.456 |  Val. PPL:   1.578
Epoch: 22 | Time: 0m 2s
	Train Loss: 0.371 | Train PPL:   1.449
	 Val. Loss: 0.472 |  Val. PPL:   1.603
Epoch: 23 | Time: 0m 2s
	Train Loss: 0.353 | Train PPL:   1.423
	 Val. Loss: 0.466 |  Val. PPL:   1.594
Epoch: 24 | Time: 0m 2s
	Train Loss: 0.362 | Train PPL:   1.436
	 Val. Loss: 0.485 |  Val. PPL:   1.624
Epoch: 25 | Time: 0m 2s
	Train Loss: 0.343 | Train PPL:   1.409
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 26 | Time: 0m 2s
	Train Loss: 0.329 | Train PPL:   1.390
	 Val. Loss: 0.471 |  Val. PPL:   1.602
Epoch: 27 | Time: 0m 2s
	Train Loss: 0.315 | Train PPL:   1.370
	 Val. Loss: 0.473 |  Val. PPL:   1.605
Epoch: 28 | Time: 0m 2s
	Train Loss: 0.309 | Train PPL:   1.363
	 Val. Loss: 0.482 |  Val. PPL:   1.619
Epoch: 29 | Time: 0m 2s
	Train Loss: 0.275 | Train PPL:   1.316
	 Val. Loss: 0.482 |  Val. PPL:   1.619
Epoch: 30 | Time: 0m 2s
	Train Loss: 0.265 | Train PPL:   1.304
	 Val. Loss: 0.472 |  Val. PPL:   1.603
