Epoch: 01 | Time: 0m 2s
	Train Loss: 0.690 | Train PPL:   1.993
	 Val. Loss: 0.655 |  Val. PPL:   1.925
Epoch: 02 | Time: 0m 2s
	Train Loss: 0.645 | Train PPL:   1.905
	 Val. Loss: 0.663 |  Val. PPL:   1.941
Epoch: 03 | Time: 0m 2s
	Train Loss: 0.590 | Train PPL:   1.804
	 Val. Loss: 0.540 |  Val. PPL:   1.717
Epoch: 04 | Time: 0m 2s
	Train Loss: 0.539 | Train PPL:   1.714
	 Val. Loss: 0.524 |  Val. PPL:   1.688
Epoch: 05 | Time: 0m 2s
	Train Loss: 0.510 | Train PPL:   1.665
	 Val. Loss: 0.498 |  Val. PPL:   1.646
Epoch: 06 | Time: 0m 2s
	Train Loss: 0.489 | Train PPL:   1.631
	 Val. Loss: 0.492 |  Val. PPL:   1.635
Epoch: 07 | Time: 0m 2s
	Train Loss: 0.470 | Train PPL:   1.600
	 Val. Loss: 0.489 |  Val. PPL:   1.630
Epoch: 08 | Time: 0m 2s
	Train Loss: 0.455 | Train PPL:   1.576
	 Val. Loss: 0.475 |  Val. PPL:   1.608
Epoch: 09 | Time: 0m 2s
	Train Loss: 0.444 | Train PPL:   1.559
	 Val. Loss: 0.475 |  Val. PPL:   1.608
Epoch: 10 | Time: 0m 2s
	Train Loss: 0.425 | Train PPL:   1.529
	 Val. Loss: 0.478 |  Val. PPL:   1.613
Epoch: 11 | Time: 0m 2s
	Train Loss: 0.412 | Train PPL:   1.509
	 Val. Loss: 0.476 |  Val. PPL:   1.609
Epoch: 12 | Time: 0m 2s
	Train Loss: 0.391 | Train PPL:   1.479
	 Val. Loss: 0.546 |  Val. PPL:   1.726
Epoch: 13 | Time: 0m 2s
	Train Loss: 0.368 | Train PPL:   1.445
	 Val. Loss: 0.496 |  Val. PPL:   1.642
Epoch: 14 | Time: 0m 2s
	Train Loss: 0.348 | Train PPL:   1.416
	 Val. Loss: 0.495 |  Val. PPL:   1.640
Epoch: 15 | Time: 0m 2s
	Train Loss: 0.326 | Train PPL:   1.386
	 Val. Loss: 0.493 |  Val. PPL:   1.637
Epoch: 16 | Time: 0m 2s
	Train Loss: 0.304 | Train PPL:   1.355
	 Val. Loss: 0.473 |  Val. PPL:   1.605
Epoch: 17 | Time: 0m 2s
	Train Loss: 0.275 | Train PPL:   1.316
	 Val. Loss: 0.571 |  Val. PPL:   1.770
Epoch: 18 | Time: 0m 2s
	Train Loss: 0.269 | Train PPL:   1.308
	 Val. Loss: 0.514 |  Val. PPL:   1.672
Epoch: 19 | Time: 0m 2s
	Train Loss: 0.242 | Train PPL:   1.274
	 Val. Loss: 0.560 |  Val. PPL:   1.750
Epoch: 20 | Time: 0m 2s
	Train Loss: 0.230 | Train PPL:   1.259
	 Val. Loss: 0.579 |  Val. PPL:   1.784
Epoch: 21 | Time: 0m 2s
	Train Loss: 0.210 | Train PPL:   1.234
	 Val. Loss: 0.577 |  Val. PPL:   1.782
Epoch: 22 | Time: 0m 2s
	Train Loss: 0.207 | Train PPL:   1.230
	 Val. Loss: 0.609 |  Val. PPL:   1.838
Epoch: 23 | Time: 0m 2s
	Train Loss: 0.172 | Train PPL:   1.188
	 Val. Loss: 0.741 |  Val. PPL:   2.098
Epoch: 24 | Time: 0m 2s
	Train Loss: 0.164 | Train PPL:   1.178
	 Val. Loss: 0.671 |  Val. PPL:   1.956
Epoch: 25 | Time: 0m 2s
	Train Loss: 0.160 | Train PPL:   1.174
	 Val. Loss: 0.609 |  Val. PPL:   1.839
Epoch: 26 | Time: 0m 2s
	Train Loss: 0.142 | Train PPL:   1.152
	 Val. Loss: 0.732 |  Val. PPL:   2.079
Epoch: 27 | Time: 0m 2s
	Train Loss: 0.134 | Train PPL:   1.143
	 Val. Loss: 0.665 |  Val. PPL:   1.945
Epoch: 28 | Time: 0m 2s
	Train Loss: 0.132 | Train PPL:   1.141
	 Val. Loss: 0.790 |  Val. PPL:   2.203
Epoch: 29 | Time: 0m 2s
	Train Loss: 0.128 | Train PPL:   1.136
	 Val. Loss: 0.882 |  Val. PPL:   2.417
Epoch: 30 | Time: 0m 2s
	Train Loss: 0.126 | Train PPL:   1.134
	 Val. Loss: 0.860 |  Val. PPL:   2.364
