Epoch: 01 | Time: 0m 12s
	Train Loss: 0.720 | Train PPL:   2.054
	 Val. Loss: 0.539 |  Val. PPL:   1.714
Epoch: 02 | Time: 0m 12s
	Train Loss: 0.671 | Train PPL:   1.956
	 Val. Loss: 0.557 |  Val. PPL:   1.745
Epoch: 03 | Time: 0m 12s
	Train Loss: 0.610 | Train PPL:   1.841
	 Val. Loss: 0.539 |  Val. PPL:   1.714
Epoch: 04 | Time: 0m 12s
	Train Loss: 0.572 | Train PPL:   1.771
	 Val. Loss: 0.489 |  Val. PPL:   1.631
Epoch: 05 | Time: 0m 12s
	Train Loss: 0.544 | Train PPL:   1.723
	 Val. Loss: 0.631 |  Val. PPL:   1.880
Epoch: 06 | Time: 0m 11s
	Train Loss: 0.527 | Train PPL:   1.695
	 Val. Loss: 0.540 |  Val. PPL:   1.716
Epoch: 07 | Time: 0m 12s
	Train Loss: 0.511 | Train PPL:   1.667
	 Val. Loss: 0.559 |  Val. PPL:   1.749
Epoch: 08 | Time: 0m 12s
	Train Loss: 0.470 | Train PPL:   1.600
	 Val. Loss: 0.588 |  Val. PPL:   1.800
Epoch: 09 | Time: 0m 12s
	Train Loss: 0.457 | Train PPL:   1.580
	 Val. Loss: 0.688 |  Val. PPL:   1.989
Epoch: 10 | Time: 0m 12s
	Train Loss: 0.470 | Train PPL:   1.600
	 Val. Loss: 0.735 |  Val. PPL:   2.086
Epoch: 11 | Time: 0m 11s
	Train Loss: 0.420 | Train PPL:   1.522
	 Val. Loss: 0.704 |  Val. PPL:   2.023
Epoch: 12 | Time: 0m 11s
	Train Loss: 0.395 | Train PPL:   1.485
	 Val. Loss: 0.683 |  Val. PPL:   1.979
Epoch: 13 | Time: 0m 11s
	Train Loss: 0.382 | Train PPL:   1.465
	 Val. Loss: 0.796 |  Val. PPL:   2.216
Epoch: 14 | Time: 0m 12s
	Train Loss: 0.360 | Train PPL:   1.433
	 Val. Loss: 0.716 |  Val. PPL:   2.046
Epoch: 15 | Time: 0m 12s
	Train Loss: 0.337 | Train PPL:   1.400
	 Val. Loss: 0.849 |  Val. PPL:   2.338
Epoch: 16 | Time: 0m 11s
	Train Loss: 0.332 | Train PPL:   1.394
	 Val. Loss: 0.866 |  Val. PPL:   2.377
Epoch: 17 | Time: 0m 12s
	Train Loss: 0.292 | Train PPL:   1.339
	 Val. Loss: 0.987 |  Val. PPL:   2.685
Epoch: 18 | Time: 0m 12s
	Train Loss: 0.289 | Train PPL:   1.335
	 Val. Loss: 0.915 |  Val. PPL:   2.498
Epoch: 19 | Time: 0m 12s
	Train Loss: 0.261 | Train PPL:   1.299
	 Val. Loss: 0.809 |  Val. PPL:   2.247
Epoch: 20 | Time: 0m 12s
	Train Loss: 0.258 | Train PPL:   1.295
	 Val. Loss: 0.987 |  Val. PPL:   2.683
Epoch: 21 | Time: 0m 11s
	Train Loss: 0.235 | Train PPL:   1.265
	 Val. Loss: 1.091 |  Val. PPL:   2.976
Epoch: 22 | Time: 0m 12s
	Train Loss: 0.220 | Train PPL:   1.247
	 Val. Loss: 0.970 |  Val. PPL:   2.639
Epoch: 23 | Time: 0m 12s
	Train Loss: 0.229 | Train PPL:   1.258
	 Val. Loss: 1.031 |  Val. PPL:   2.805
Epoch: 24 | Time: 0m 11s
	Train Loss: 0.207 | Train PPL:   1.229
	 Val. Loss: 0.914 |  Val. PPL:   2.494
