Epoch: 01 | Time: 0m 1s
	Train Loss: 0.686 | Train PPL:   1.986
	 Val. Loss: 0.684 |  Val. PPL:   1.983
Epoch: 02 | Time: 0m 1s
	Train Loss: 0.690 | Train PPL:   1.994
	 Val. Loss: 0.684 |  Val. PPL:   1.981
Epoch: 03 | Time: 0m 1s
	Train Loss: 0.653 | Train PPL:   1.921
	 Val. Loss: 0.551 |  Val. PPL:   1.735
Epoch: 04 | Time: 0m 1s
	Train Loss: 0.505 | Train PPL:   1.658
	 Val. Loss: 0.516 |  Val. PPL:   1.675
Epoch: 05 | Time: 0m 1s
	Train Loss: 0.456 | Train PPL:   1.577
	 Val. Loss: 0.464 |  Val. PPL:   1.591
Epoch: 06 | Time: 0m 1s
	Train Loss: 0.430 | Train PPL:   1.537
	 Val. Loss: 0.461 |  Val. PPL:   1.586
Epoch: 07 | Time: 0m 1s
	Train Loss: 0.417 | Train PPL:   1.517
	 Val. Loss: 0.456 |  Val. PPL:   1.577
Epoch: 08 | Time: 0m 1s
	Train Loss: 0.402 | Train PPL:   1.495
	 Val. Loss: 0.466 |  Val. PPL:   1.593
Epoch: 09 | Time: 0m 1s
	Train Loss: 0.389 | Train PPL:   1.476
	 Val. Loss: 0.457 |  Val. PPL:   1.580
Epoch: 10 | Time: 0m 1s
	Train Loss: 0.376 | Train PPL:   1.456
	 Val. Loss: 0.443 |  Val. PPL:   1.558
Epoch: 11 | Time: 0m 1s
	Train Loss: 0.360 | Train PPL:   1.434
	 Val. Loss: 0.463 |  Val. PPL:   1.589
Epoch: 12 | Time: 0m 1s
	Train Loss: 0.349 | Train PPL:   1.417
	 Val. Loss: 0.453 |  Val. PPL:   1.572
Epoch: 13 | Time: 0m 1s
	Train Loss: 0.330 | Train PPL:   1.391
	 Val. Loss: 0.455 |  Val. PPL:   1.576
Epoch: 14 | Time: 0m 1s
	Train Loss: 0.323 | Train PPL:   1.381
	 Val. Loss: 0.474 |  Val. PPL:   1.606
Epoch: 15 | Time: 0m 1s
	Train Loss: 0.303 | Train PPL:   1.354
	 Val. Loss: 0.486 |  Val. PPL:   1.626
Epoch: 16 | Time: 0m 1s
	Train Loss: 0.288 | Train PPL:   1.334
	 Val. Loss: 0.475 |  Val. PPL:   1.608
Epoch: 17 | Time: 0m 1s
	Train Loss: 0.278 | Train PPL:   1.321
	 Val. Loss: 0.489 |  Val. PPL:   1.631
Epoch: 18 | Time: 0m 1s
	Train Loss: 0.249 | Train PPL:   1.282
	 Val. Loss: 0.501 |  Val. PPL:   1.651
Epoch: 19 | Time: 0m 1s
	Train Loss: 0.244 | Train PPL:   1.276
	 Val. Loss: 0.522 |  Val. PPL:   1.686
Epoch: 20 | Time: 0m 1s
	Train Loss: 0.226 | Train PPL:   1.254
	 Val. Loss: 0.517 |  Val. PPL:   1.676
Epoch: 21 | Time: 0m 1s
	Train Loss: 0.204 | Train PPL:   1.226
	 Val. Loss: 0.621 |  Val. PPL:   1.860
Epoch: 22 | Time: 0m 1s
	Train Loss: 0.189 | Train PPL:   1.208
	 Val. Loss: 0.622 |  Val. PPL:   1.862
Epoch: 23 | Time: 0m 1s
	Train Loss: 0.179 | Train PPL:   1.196
	 Val. Loss: 0.632 |  Val. PPL:   1.880
Epoch: 24 | Time: 0m 1s
	Train Loss: 0.159 | Train PPL:   1.173
	 Val. Loss: 0.610 |  Val. PPL:   1.840
Epoch: 25 | Time: 0m 1s
	Train Loss: 0.138 | Train PPL:   1.148
	 Val. Loss: 0.667 |  Val. PPL:   1.948
Epoch: 26 | Time: 0m 1s
	Train Loss: 0.140 | Train PPL:   1.151
	 Val. Loss: 0.704 |  Val. PPL:   2.022
Epoch: 27 | Time: 0m 1s
	Train Loss: 0.129 | Train PPL:   1.138
	 Val. Loss: 0.656 |  Val. PPL:   1.926
Epoch: 28 | Time: 0m 1s
	Train Loss: 0.102 | Train PPL:   1.107
	 Val. Loss: 0.732 |  Val. PPL:   2.079
Epoch: 29 | Time: 0m 1s
	Train Loss: 0.112 | Train PPL:   1.118
	 Val. Loss: 0.710 |  Val. PPL:   2.035
Epoch: 30 | Time: 0m 1s
	Train Loss: 0.108 | Train PPL:   1.115
	 Val. Loss: 0.725 |  Val. PPL:   2.066
