Epoch: 01 | Time: 0m 3s
	Train Loss: 0.615 | Train PPL:   1.850
	 Val. Loss: 0.518 |  Val. PPL:   1.678
Epoch: 02 | Time: 0m 3s
	Train Loss: 0.525 | Train PPL:   1.690
	 Val. Loss: 0.494 |  Val. PPL:   1.639
Epoch: 03 | Time: 0m 3s
	Train Loss: 0.479 | Train PPL:   1.615
	 Val. Loss: 0.593 |  Val. PPL:   1.809
Epoch: 04 | Time: 0m 3s
	Train Loss: 0.455 | Train PPL:   1.576
	 Val. Loss: 0.551 |  Val. PPL:   1.736
Epoch: 05 | Time: 0m 3s
	Train Loss: 0.446 | Train PPL:   1.563
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 06 | Time: 0m 3s
	Train Loss: 0.433 | Train PPL:   1.542
	 Val. Loss: 0.458 |  Val. PPL:   1.582
Epoch: 07 | Time: 0m 3s
	Train Loss: 0.414 | Train PPL:   1.513
	 Val. Loss: 0.471 |  Val. PPL:   1.601
Epoch: 08 | Time: 0m 3s
	Train Loss: 0.397 | Train PPL:   1.487
	 Val. Loss: 0.461 |  Val. PPL:   1.586
Epoch: 09 | Time: 0m 3s
	Train Loss: 0.384 | Train PPL:   1.468
	 Val. Loss: 0.454 |  Val. PPL:   1.575
Epoch: 10 | Time: 0m 3s
	Train Loss: 0.370 | Train PPL:   1.447
	 Val. Loss: 0.459 |  Val. PPL:   1.583
Epoch: 11 | Time: 0m 3s
	Train Loss: 0.352 | Train PPL:   1.422
	 Val. Loss: 0.474 |  Val. PPL:   1.607
Epoch: 12 | Time: 0m 3s
	Train Loss: 0.345 | Train PPL:   1.413
	 Val. Loss: 0.485 |  Val. PPL:   1.625
Epoch: 13 | Time: 0m 3s
	Train Loss: 0.315 | Train PPL:   1.370
	 Val. Loss: 0.486 |  Val. PPL:   1.625
Epoch: 14 | Time: 0m 3s
	Train Loss: 0.301 | Train PPL:   1.351
	 Val. Loss: 0.530 |  Val. PPL:   1.699
Epoch: 15 | Time: 0m 3s
	Train Loss: 0.280 | Train PPL:   1.324
	 Val. Loss: 0.522 |  Val. PPL:   1.686
Epoch: 16 | Time: 0m 3s
	Train Loss: 0.270 | Train PPL:   1.310
	 Val. Loss: 0.525 |  Val. PPL:   1.690
Epoch: 17 | Time: 0m 3s
	Train Loss: 0.245 | Train PPL:   1.278
	 Val. Loss: 0.584 |  Val. PPL:   1.793
Epoch: 18 | Time: 0m 3s
	Train Loss: 0.230 | Train PPL:   1.258
	 Val. Loss: 0.634 |  Val. PPL:   1.886
Epoch: 19 | Time: 0m 3s
	Train Loss: 0.213 | Train PPL:   1.237
	 Val. Loss: 0.717 |  Val. PPL:   2.049
Epoch: 20 | Time: 0m 3s
	Train Loss: 0.199 | Train PPL:   1.220
	 Val. Loss: 0.628 |  Val. PPL:   1.874
Epoch: 21 | Time: 0m 3s
	Train Loss: 0.196 | Train PPL:   1.216
	 Val. Loss: 0.710 |  Val. PPL:   2.033
Epoch: 22 | Time: 0m 3s
	Train Loss: 0.153 | Train PPL:   1.165
	 Val. Loss: 0.727 |  Val. PPL:   2.070
Epoch: 23 | Time: 0m 3s
	Train Loss: 0.151 | Train PPL:   1.163
	 Val. Loss: 0.804 |  Val. PPL:   2.235
Epoch: 24 | Time: 0m 3s
	Train Loss: 0.139 | Train PPL:   1.149
	 Val. Loss: 0.797 |  Val. PPL:   2.219
Epoch: 25 | Time: 0m 3s
	Train Loss: 0.122 | Train PPL:   1.130
	 Val. Loss: 0.837 |  Val. PPL:   2.309
Epoch: 26 | Time: 0m 3s
	Train Loss: 0.120 | Train PPL:   1.127
	 Val. Loss: 0.875 |  Val. PPL:   2.399
Epoch: 27 | Time: 0m 3s
	Train Loss: 0.109 | Train PPL:   1.115
	 Val. Loss: 0.976 |  Val. PPL:   2.654
Epoch: 28 | Time: 0m 3s
	Train Loss: 0.106 | Train PPL:   1.111
	 Val. Loss: 1.076 |  Val. PPL:   2.932
Epoch: 29 | Time: 0m 3s
	Train Loss: 0.098 | Train PPL:   1.103
	 Val. Loss: 1.002 |  Val. PPL:   2.723
Epoch: 30 | Time: 0m 3s
	Train Loss: 0.091 | Train PPL:   1.096
	 Val. Loss: 0.943 |  Val. PPL:   2.567
