Epoch: 01 | Time: 0m 1s
	Train Loss: 0.688 | Train PPL:   1.989
	 Val. Loss: 0.686 |  Val. PPL:   1.985
Epoch: 02 | Time: 0m 1s
	Train Loss: 0.643 | Train PPL:   1.901
	 Val. Loss: 0.627 |  Val. PPL:   1.871
Epoch: 03 | Time: 0m 1s
	Train Loss: 0.608 | Train PPL:   1.837
	 Val. Loss: 0.620 |  Val. PPL:   1.859
Epoch: 04 | Time: 0m 1s
	Train Loss: 0.620 | Train PPL:   1.859
	 Val. Loss: 0.593 |  Val. PPL:   1.809
Epoch: 05 | Time: 0m 1s
	Train Loss: 0.581 | Train PPL:   1.788
	 Val. Loss: 0.560 |  Val. PPL:   1.751
Epoch: 06 | Time: 0m 1s
	Train Loss: 0.555 | Train PPL:   1.741
	 Val. Loss: 0.544 |  Val. PPL:   1.723
Epoch: 07 | Time: 0m 1s
	Train Loss: 0.531 | Train PPL:   1.700
	 Val. Loss: 0.529 |  Val. PPL:   1.697
Epoch: 08 | Time: 0m 1s
	Train Loss: 0.497 | Train PPL:   1.643
	 Val. Loss: 0.511 |  Val. PPL:   1.667
Epoch: 09 | Time: 0m 1s
	Train Loss: 0.461 | Train PPL:   1.586
	 Val. Loss: 0.513 |  Val. PPL:   1.671
Epoch: 10 | Time: 0m 1s
	Train Loss: 0.453 | Train PPL:   1.574
	 Val. Loss: 0.482 |  Val. PPL:   1.619
Epoch: 11 | Time: 0m 1s
	Train Loss: 0.437 | Train PPL:   1.549
	 Val. Loss: 0.473 |  Val. PPL:   1.605
Epoch: 12 | Time: 0m 1s
	Train Loss: 0.417 | Train PPL:   1.518
	 Val. Loss: 0.461 |  Val. PPL:   1.585
Epoch: 13 | Time: 0m 1s
	Train Loss: 0.415 | Train PPL:   1.514
	 Val. Loss: 0.459 |  Val. PPL:   1.582
Epoch: 14 | Time: 0m 1s
	Train Loss: 0.412 | Train PPL:   1.511
	 Val. Loss: 0.456 |  Val. PPL:   1.578
Epoch: 15 | Time: 0m 1s
	Train Loss: 0.401 | Train PPL:   1.494
	 Val. Loss: 0.465 |  Val. PPL:   1.593
Epoch: 16 | Time: 0m 1s
	Train Loss: 0.399 | Train PPL:   1.490
	 Val. Loss: 0.459 |  Val. PPL:   1.583
Epoch: 17 | Time: 0m 1s
	Train Loss: 0.387 | Train PPL:   1.472
	 Val. Loss: 0.450 |  Val. PPL:   1.568
Epoch: 18 | Time: 0m 1s
	Train Loss: 0.376 | Train PPL:   1.457
	 Val. Loss: 0.446 |  Val. PPL:   1.562
Epoch: 19 | Time: 0m 1s
	Train Loss: 0.368 | Train PPL:   1.444
	 Val. Loss: 0.447 |  Val. PPL:   1.564
Epoch: 20 | Time: 0m 1s
	Train Loss: 0.351 | Train PPL:   1.421
	 Val. Loss: 0.453 |  Val. PPL:   1.573
Epoch: 21 | Time: 0m 1s
	Train Loss: 0.352 | Train PPL:   1.422
	 Val. Loss: 0.445 |  Val. PPL:   1.560
Epoch: 22 | Time: 0m 1s
	Train Loss: 0.348 | Train PPL:   1.416
	 Val. Loss: 0.449 |  Val. PPL:   1.566
Epoch: 23 | Time: 0m 1s
	Train Loss: 0.317 | Train PPL:   1.374
	 Val. Loss: 0.458 |  Val. PPL:   1.582
Epoch: 24 | Time: 0m 1s
	Train Loss: 0.310 | Train PPL:   1.363
	 Val. Loss: 0.457 |  Val. PPL:   1.579
Epoch: 25 | Time: 0m 1s
	Train Loss: 0.304 | Train PPL:   1.355
	 Val. Loss: 0.470 |  Val. PPL:   1.600
Epoch: 26 | Time: 0m 1s
	Train Loss: 0.281 | Train PPL:   1.324
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 27 | Time: 0m 1s
	Train Loss: 0.277 | Train PPL:   1.319
	 Val. Loss: 0.478 |  Val. PPL:   1.613
Epoch: 28 | Time: 0m 1s
	Train Loss: 0.257 | Train PPL:   1.293
	 Val. Loss: 0.518 |  Val. PPL:   1.679
Epoch: 29 | Time: 0m 1s
	Train Loss: 0.252 | Train PPL:   1.286
	 Val. Loss: 0.499 |  Val. PPL:   1.647
Epoch: 30 | Time: 0m 1s
	Train Loss: 0.239 | Train PPL:   1.270
	 Val. Loss: 0.494 |  Val. PPL:   1.638
