Epoch: 01 | Time: 0m 3s
	Train Loss: 0.687 | Train PPL:   1.988
	 Val. Loss: 0.558 |  Val. PPL:   1.747
Epoch: 02 | Time: 0m 3s
	Train Loss: 0.643 | Train PPL:   1.901
	 Val. Loss: 0.681 |  Val. PPL:   1.976
Epoch: 03 | Time: 0m 3s
	Train Loss: 0.628 | Train PPL:   1.875
	 Val. Loss: 0.499 |  Val. PPL:   1.647
Epoch: 04 | Time: 0m 3s
	Train Loss: 0.482 | Train PPL:   1.620
	 Val. Loss: 0.469 |  Val. PPL:   1.599
Epoch: 05 | Time: 0m 3s
	Train Loss: 0.450 | Train PPL:   1.569
	 Val. Loss: 0.470 |  Val. PPL:   1.600
Epoch: 06 | Time: 0m 3s
	Train Loss: 0.423 | Train PPL:   1.527
	 Val. Loss: 0.455 |  Val. PPL:   1.576
Epoch: 07 | Time: 0m 3s
	Train Loss: 0.397 | Train PPL:   1.488
	 Val. Loss: 0.448 |  Val. PPL:   1.565
Epoch: 08 | Time: 0m 3s
	Train Loss: 0.385 | Train PPL:   1.469
	 Val. Loss: 0.446 |  Val. PPL:   1.562
Epoch: 09 | Time: 0m 3s
	Train Loss: 0.365 | Train PPL:   1.440
	 Val. Loss: 0.455 |  Val. PPL:   1.576
Epoch: 10 | Time: 0m 3s
	Train Loss: 0.344 | Train PPL:   1.410
	 Val. Loss: 0.457 |  Val. PPL:   1.580
Epoch: 11 | Time: 0m 3s
	Train Loss: 0.320 | Train PPL:   1.377
	 Val. Loss: 0.511 |  Val. PPL:   1.668
Epoch: 12 | Time: 0m 3s
	Train Loss: 0.298 | Train PPL:   1.348
	 Val. Loss: 0.502 |  Val. PPL:   1.652
Epoch: 13 | Time: 0m 3s
	Train Loss: 0.275 | Train PPL:   1.316
	 Val. Loss: 0.482 |  Val. PPL:   1.619
Epoch: 14 | Time: 0m 3s
	Train Loss: 0.257 | Train PPL:   1.293
	 Val. Loss: 0.515 |  Val. PPL:   1.674
Epoch: 15 | Time: 0m 3s
	Train Loss: 0.247 | Train PPL:   1.281
	 Val. Loss: 0.503 |  Val. PPL:   1.654
Epoch: 16 | Time: 0m 3s
	Train Loss: 0.223 | Train PPL:   1.249
	 Val. Loss: 0.673 |  Val. PPL:   1.960
Epoch: 17 | Time: 0m 3s
	Train Loss: 0.210 | Train PPL:   1.234
	 Val. Loss: 0.586 |  Val. PPL:   1.797
Epoch: 18 | Time: 0m 3s
	Train Loss: 0.195 | Train PPL:   1.215
	 Val. Loss: 0.609 |  Val. PPL:   1.838
Epoch: 19 | Time: 0m 3s
	Train Loss: 0.182 | Train PPL:   1.199
	 Val. Loss: 0.634 |  Val. PPL:   1.885
Epoch: 20 | Time: 0m 3s
	Train Loss: 0.164 | Train PPL:   1.179
	 Val. Loss: 0.746 |  Val. PPL:   2.108
Epoch: 21 | Time: 0m 3s
	Train Loss: 0.156 | Train PPL:   1.169
	 Val. Loss: 0.669 |  Val. PPL:   1.953
Epoch: 22 | Time: 0m 3s
	Train Loss: 0.142 | Train PPL:   1.152
	 Val. Loss: 0.795 |  Val. PPL:   2.215
Epoch: 23 | Time: 0m 3s
	Train Loss: 0.139 | Train PPL:   1.149
	 Val. Loss: 0.716 |  Val. PPL:   2.046
Epoch: 24 | Time: 0m 3s
	Train Loss: 0.129 | Train PPL:   1.138
	 Val. Loss: 0.825 |  Val. PPL:   2.282
Epoch: 25 | Time: 0m 3s
	Train Loss: 0.119 | Train PPL:   1.127
	 Val. Loss: 0.762 |  Val. PPL:   2.142
Epoch: 26 | Time: 0m 3s
	Train Loss: 0.108 | Train PPL:   1.114
	 Val. Loss: 0.911 |  Val. PPL:   2.486
Epoch: 27 | Time: 0m 3s
	Train Loss: 0.103 | Train PPL:   1.108
	 Val. Loss: 1.038 |  Val. PPL:   2.822
Epoch: 28 | Time: 0m 3s
	Train Loss: 0.092 | Train PPL:   1.097
	 Val. Loss: 0.880 |  Val. PPL:   2.411
Epoch: 29 | Time: 0m 3s
	Train Loss: 0.093 | Train PPL:   1.097
	 Val. Loss: 1.004 |  Val. PPL:   2.730
Epoch: 30 | Time: 0m 3s
	Train Loss: 0.103 | Train PPL:   1.108
	 Val. Loss: 0.813 |  Val. PPL:   2.256
