Epoch: 01 | Time: 0m 1s
	Train Loss: 0.683 | Train PPL:   1.980
	 Val. Loss: 0.604 |  Val. PPL:   1.830
Epoch: 02 | Time: 0m 1s
	Train Loss: 0.587 | Train PPL:   1.798
	 Val. Loss: 0.525 |  Val. PPL:   1.691
Epoch: 03 | Time: 0m 1s
	Train Loss: 0.559 | Train PPL:   1.749
	 Val. Loss: 0.520 |  Val. PPL:   1.683
Epoch: 04 | Time: 0m 1s
	Train Loss: 0.531 | Train PPL:   1.701
	 Val. Loss: 0.491 |  Val. PPL:   1.634
Epoch: 05 | Time: 0m 1s
	Train Loss: 0.510 | Train PPL:   1.665
	 Val. Loss: 0.483 |  Val. PPL:   1.621
Epoch: 06 | Time: 0m 1s
	Train Loss: 0.485 | Train PPL:   1.625
	 Val. Loss: 0.487 |  Val. PPL:   1.628
Epoch: 07 | Time: 0m 1s
	Train Loss: 0.484 | Train PPL:   1.622
	 Val. Loss: 0.468 |  Val. PPL:   1.597
Epoch: 08 | Time: 0m 1s
	Train Loss: 0.455 | Train PPL:   1.576
	 Val. Loss: 0.469 |  Val. PPL:   1.599
Epoch: 09 | Time: 0m 1s
	Train Loss: 0.454 | Train PPL:   1.574
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 10 | Time: 0m 1s
	Train Loss: 0.447 | Train PPL:   1.564
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 11 | Time: 0m 1s
	Train Loss: 0.428 | Train PPL:   1.534
	 Val. Loss: 0.465 |  Val. PPL:   1.592
Epoch: 12 | Time: 0m 1s
	Train Loss: 0.433 | Train PPL:   1.541
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 13 | Time: 0m 1s
	Train Loss: 0.420 | Train PPL:   1.522
	 Val. Loss: 0.465 |  Val. PPL:   1.592
Epoch: 14 | Time: 0m 1s
	Train Loss: 0.415 | Train PPL:   1.514
	 Val. Loss: 0.454 |  Val. PPL:   1.574
Epoch: 15 | Time: 0m 1s
	Train Loss: 0.410 | Train PPL:   1.507
	 Val. Loss: 0.451 |  Val. PPL:   1.570
Epoch: 16 | Time: 0m 1s
	Train Loss: 0.398 | Train PPL:   1.489
	 Val. Loss: 0.460 |  Val. PPL:   1.584
Epoch: 17 | Time: 0m 1s
	Train Loss: 0.404 | Train PPL:   1.497
	 Val. Loss: 0.471 |  Val. PPL:   1.602
Epoch: 18 | Time: 0m 1s
	Train Loss: 0.379 | Train PPL:   1.461
	 Val. Loss: 0.457 |  Val. PPL:   1.579
Epoch: 19 | Time: 0m 1s
	Train Loss: 0.365 | Train PPL:   1.440
	 Val. Loss: 0.462 |  Val. PPL:   1.588
Epoch: 20 | Time: 0m 1s
	Train Loss: 0.359 | Train PPL:   1.433
	 Val. Loss: 0.474 |  Val. PPL:   1.606
Epoch: 21 | Time: 0m 1s
	Train Loss: 0.350 | Train PPL:   1.419
	 Val. Loss: 0.445 |  Val. PPL:   1.561
Epoch: 22 | Time: 0m 1s
	Train Loss: 0.337 | Train PPL:   1.401
	 Val. Loss: 0.450 |  Val. PPL:   1.568
Epoch: 23 | Time: 0m 1s
	Train Loss: 0.327 | Train PPL:   1.386
	 Val. Loss: 0.476 |  Val. PPL:   1.610
Epoch: 24 | Time: 0m 1s
	Train Loss: 0.322 | Train PPL:   1.380
	 Val. Loss: 0.464 |  Val. PPL:   1.590
Epoch: 25 | Time: 0m 1s
	Train Loss: 0.312 | Train PPL:   1.366
	 Val. Loss: 0.460 |  Val. PPL:   1.585
Epoch: 26 | Time: 0m 1s
	Train Loss: 0.292 | Train PPL:   1.339
	 Val. Loss: 0.484 |  Val. PPL:   1.623
Epoch: 27 | Time: 0m 1s
	Train Loss: 0.282 | Train PPL:   1.326
	 Val. Loss: 0.475 |  Val. PPL:   1.608
Epoch: 28 | Time: 0m 1s
	Train Loss: 0.268 | Train PPL:   1.307
	 Val. Loss: 0.479 |  Val. PPL:   1.615
Epoch: 29 | Time: 0m 1s
	Train Loss: 0.257 | Train PPL:   1.294
	 Val. Loss: 0.488 |  Val. PPL:   1.630
Epoch: 30 | Time: 0m 1s
	Train Loss: 0.251 | Train PPL:   1.285
	 Val. Loss: 0.475 |  Val. PPL:   1.608
