Epoch: 01 | Time: 0m 26s
	Train Loss: 1.366 | Train PPL:   3.919
	 Val. Loss: 2.254 |  Val. PPL:   9.530
Epoch: 02 | Time: 0m 26s
	Train Loss: 1.091 | Train PPL:   2.978
	 Val. Loss: 1.347 |  Val. PPL:   3.847
Epoch: 03 | Time: 0m 26s
	Train Loss: 0.922 | Train PPL:   2.515
	 Val. Loss: 1.001 |  Val. PPL:   2.722
Epoch: 04 | Time: 0m 26s
	Train Loss: 0.873 | Train PPL:   2.395
	 Val. Loss: 0.861 |  Val. PPL:   2.366
Epoch: 05 | Time: 0m 26s
	Train Loss: 0.888 | Train PPL:   2.429
	 Val. Loss: 0.936 |  Val. PPL:   2.550
Epoch: 06 | Time: 0m 26s
	Train Loss: 0.720 | Train PPL:   2.055
	 Val. Loss: 1.126 |  Val. PPL:   3.083
Epoch: 07 | Time: 0m 26s
	Train Loss: 0.667 | Train PPL:   1.949
	 Val. Loss: 0.919 |  Val. PPL:   2.506
Epoch: 08 | Time: 0m 25s
	Train Loss: 0.616 | Train PPL:   1.851
	 Val. Loss: 0.928 |  Val. PPL:   2.528
Epoch: 09 | Time: 0m 26s
	Train Loss: 0.602 | Train PPL:   1.825
	 Val. Loss: 1.252 |  Val. PPL:   3.497
Epoch: 10 | Time: 0m 26s
	Train Loss: 0.548 | Train PPL:   1.730
	 Val. Loss: 1.047 |  Val. PPL:   2.849
Epoch: 11 | Time: 0m 26s
	Train Loss: 0.561 | Train PPL:   1.752
	 Val. Loss: 1.059 |  Val. PPL:   2.884
Epoch: 12 | Time: 0m 26s
	Train Loss: 0.512 | Train PPL:   1.669
	 Val. Loss: 0.989 |  Val. PPL:   2.687
Epoch: 13 | Time: 0m 26s
	Train Loss: 0.492 | Train PPL:   1.635
	 Val. Loss: 1.155 |  Val. PPL:   3.175
Epoch: 14 | Time: 0m 26s
	Train Loss: 0.472 | Train PPL:   1.603
	 Val. Loss: 1.000 |  Val. PPL:   2.718
Epoch: 15 | Time: 0m 25s
	Train Loss: 0.453 | Train PPL:   1.574
	 Val. Loss: 1.233 |  Val. PPL:   3.430
Epoch: 16 | Time: 0m 25s
	Train Loss: 0.439 | Train PPL:   1.551
	 Val. Loss: 1.448 |  Val. PPL:   4.256
Epoch: 17 | Time: 0m 25s
	Train Loss: 0.434 | Train PPL:   1.543
	 Val. Loss: 1.462 |  Val. PPL:   4.313
Epoch: 18 | Time: 0m 25s
	Train Loss: 0.457 | Train PPL:   1.580
	 Val. Loss: 1.333 |  Val. PPL:   3.793
Epoch: 19 | Time: 0m 25s
	Train Loss: 0.443 | Train PPL:   1.557
	 Val. Loss: 1.712 |  Val. PPL:   5.542
Epoch: 20 | Time: 0m 26s
	Train Loss: 0.420 | Train PPL:   1.521
	 Val. Loss: 1.141 |  Val. PPL:   3.131
Epoch: 21 | Time: 0m 25s
	Train Loss: 0.355 | Train PPL:   1.426
	 Val. Loss: 1.375 |  Val. PPL:   3.956
Epoch: 22 | Time: 0m 25s
	Train Loss: 0.381 | Train PPL:   1.464
	 Val. Loss: 1.504 |  Val. PPL:   4.499
Epoch: 23 | Time: 0m 25s
	Train Loss: 0.357 | Train PPL:   1.429
	 Val. Loss: 1.478 |  Val. PPL:   4.383
Epoch: 24 | Time: 0m 25s
	Train Loss: 0.366 | Train PPL:   1.442
	 Val. Loss: 1.674 |  Val. PPL:   5.332
Epoch: 25 | Time: 0m 25s
	Train Loss: 0.365 | Train PPL:   1.441
	 Val. Loss: 1.488 |  Val. PPL:   4.429
Epoch: 26 | Time: 0m 25s
	Train Loss: 0.382 | Train PPL:   1.466
	 Val. Loss: 1.696 |  Val. PPL:   5.451
Epoch: 27 | Time: 0m 25s
	Train Loss: 0.337 | Train PPL:   1.400
	 Val. Loss: 1.535 |  Val. PPL:   4.643
Epoch: 28 | Time: 0m 25s
	Train Loss: 0.340 | Train PPL:   1.405
	 Val. Loss: 1.491 |  Val. PPL:   4.444
Epoch: 29 | Time: 0m 25s
	Train Loss: 0.340 | Train PPL:   1.405
	 Val. Loss: 1.795 |  Val. PPL:   6.020
Epoch: 30 | Time: 0m 25s
	Train Loss: 0.354 | Train PPL:   1.425
	 Val. Loss: 1.503 |  Val. PPL:   4.494
